REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBFHPFH1",2015,1.55065042
"REGION1","SEBFHPFH1",2016,1.540062556
"REGION1","SEBFHPFH1",2017,1.529474692
"REGION1","SEBFHPFH1",2018,1.518886828
"REGION1","SEBFHPFH1",2019,1.508290832
"REGION1","SEBFHPFH1",2020,1.497702968
"REGION1","SEBFHPFH1",2021,1.493165312
"REGION1","SEBFHPFH1",2022,1.488627656
"REGION1","SEBFHPFH1",2023,0.17447
"REGION1","SEBFHPFH1",2024,0.06004086
"REGION1","SEBFHPFH1",2025,0.045346
"REGION1","SEBFHPFH1",2026,0.04520625
"REGION1","SEBMCCPH1",2015,5.72043936
"REGION1","SEBMCCPH1",2016,5.50448896
"REGION1","SEBMCCPH1",2017,5.28858304
"REGION1","SEBMCCPH1",2018,5.07263264
"REGION1","SEBMCCPH1",2019,4.85668224
"REGION1","SEBMCCPH1",2020,4.64077632
"REGION1","SEBMCCPH1",2021,4.55915552
"REGION1","SEBMCCPH1",2022,4.47753472
"REGION1","SEBMCCPH1",2023,4.395931712
"REGION1","SEBMCCPH1",2024,4.314324256
"REGION1","SEBMCCPH1",2025,4.232712352
"REGION1","SEBMCCPH1",2060,3.39889142043682
"REGION1","SEBMCHPH3",2015,0.2481984
"REGION1","SEBMCHPH3",2016,0.243243328
"REGION1","SEBMCHPH3",2017,0.238288256
"REGION1","SEBMCHPH3",2018,0.233333184
"REGION1","SEBMCHPH3",2019,0.228378112
"REGION1","SEBMCHPH3",2020,0.223425264
"REGION1","SEBMCHPH3",2021,0.22283368
"REGION1","SEBMCHPH3",2022,0.2222416512
"REGION1","SEBMCHPH3",2023,0.2216500672
"REGION1","SEBMCHPH3",2024,0.2210587056
"REGION1","SEBMCHPH3",2025,0.220467344
"REGION1","SEBMCHPH3",2026,0.2198759824
"REGION1","SEBMCHPH3",2027,0.2192843984
"REGION1","SEBMCHPH3",2028,0.2186930368
"REGION1","SEBMCHPH3",2029,0.2181016752
"REGION1","SEBMCHPH3",2030,0.1087551568
"REGION1","SEBMSTPH3",2015,226.217863516
"REGION1","SEBMSTPH3",2016,224.582563544
"REGION1","SEBMSTPH3",2017,222.947263572
"REGION1","SEBMSTPH3",2018,221.3119636
"REGION1","SEBMSTPH3",2019,219.676663628
"REGION1","SEBMSTPH3",2020,218.041070644
"REGION1","SEBMSTPH3",2021,217.314400884
"REGION1","SEBMSTPH3",2022,216.587731124
"REGION1","SEBMSTPH3",2023,215.860768352
"REGION1","SEBMSTPH3",2024,215.134098592
"REGION1","SEBMSTPH3",2025,214.40713582
"REGION1","SEBMSTPH3",2026,213.68046606
"REGION1","SEBMSTPH3",2027,212.953503288
"REGION1","SEBMSTPH3",2028,212.226833528
"REGION1","SEBMSTPH3",2029,211.499870756
"REGION1","SEBMSTPH3",2030,21.6233639513617
"REGION1","SEBMSTPH3",2031,16.7659478093684
"REGION1","SEBMSTPH3",2032,16.7079448316726
"REGION1","SEBMSTPH3",2033,16.6499418539767
"REGION1","SEBMSTPH3",2034,16.5919154879834
"REGION1","SEBMSTPH3",2035,102.130007533627
"REGION1","SEBMSTPH3",2036,101.823587605828
"REGION1","SEBMSTPH3",2037,101.518034495364
"REGION1","SEBMSTPH3",2038,101.21349267179
"REGION1","SEBMSTPH3",2039,100.909962135107
"REGION1","SEBMSTPH3",2040,145.529661855492
"REGION1","SEBMSTPH3",2041,283.261905816008
"REGION1","SEBMSTPH3",2042,280.102841276362
"REGION1","SEBMSTPH3",2043,298.708635735181
"REGION1","SEBMSTPH3",2044,297.812692911944
"REGION1","SEBMSTPH3",2045,337.437402266701
"REGION1","SEBMSTPH3",2046,336.425100389512
"REGION1","SEBMSTPH3",2047,335.415749829749
"REGION1","SEBMSTPH3",2048,334.409350587412
"REGION1","SEBMSTPH3",2049,333.406394548739
"REGION1","SEBMSTPH3",2050,332.405897941255
"REGION1","SEBMSTPH3",2051,331.408844537435
"REGION1","SEBMSTPH3",2052,330.41474245104
"REGION1","SEBMSTPH3",2053,329.423099795835
"REGION1","SEBMSTPH3",2054,328.434900344293
"REGION1","SEBMSTPH3",2055,327.449652210177
"REGION1","SEBMSTPH3",2056,326.467355393488
"REGION1","SEBMSTPH3",2057,325.488009894225
