REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.0160105686048
"REGION1","SEBF00X00",2025,0.01212921864
"REGION1","SEBFHPFH1",2015,0.008132
"REGION1","SEBFHPFH1",2016,0.008132
"REGION1","SEBFHPFH1",2017,0.008132
"REGION1","SEBFHPFH1",2018,0.008132
"REGION1","SEBFHPFH1",2019,0.008132
"REGION1","SEBFHPFH1",2020,0.008132
"REGION1","SEBFHPFH1",2021,0.008132
"REGION1","SEBFHPFH1",2022,0.008132
"REGION1","SEBFHPFH1",2023,0.000956
"REGION1","SEBFHPFH1",2024,0.00033
"REGION1","SEBFHPFH1",2025,0.00025
"REGION1","SEBFHPFH1",2026,0.00025
"REGION1","SEBM00X00",2015,0.95616
"REGION1","SEBM00X00",2016,0.95616
"REGION1","SEBM00X00",2017,0.95616
"REGION1","SEBM00X00",2018,0.813055812739821
"REGION1","SEBM00X00",2019,3.8344648637952
"REGION1","SEBM00X00",2020,112.817470559525
"REGION1","SEBM00X00",2021,172.817985157733
"REGION1","SEBM00X00",2022,267.697261323763
"REGION1","SEBM00X00",2023,246.406605316687
"REGION1","SEBM00X00",2024,260.453725177703
"REGION1","SEBM00X00",2025,268.76610162951
"REGION1","SEBM00X00",2026,268.054374560001
"REGION1","SEBM00X00",2027,265.292544255651
"REGION1","SEBM00X00",2028,268.063670556375
"REGION1","SEBM00X00",2029,265.301840252025
"REGION1","SEBM00X00",2030,25.3065184498681
"REGION1","SEBM00X00",2031,25.8837863992453
"REGION1","SEBM00X00",2032,27.1160529378406
"REGION1","SEBM00X00",2033,27.4022924602095
"REGION1","SEBM00X00",2034,27.0444224513935
"REGION1","SEBM00X00",2035,135.6128156689
"REGION1","SEBM00X00",2036,135.6128156689
"REGION1","SEBM00X00",2037,135.6128156689
"REGION1","SEBM00X00",2038,135.6128156689
"REGION1","SEBM00X00",2039,135.6128156689
"REGION1","SEBM00X00",2040,191.820138628393
"REGION1","SEBM00X00",2041,363.918299625838
"REGION1","SEBM00X00",2042,366.462262741708
"REGION1","SEBM00X00",2043,388.612105307469
"REGION1","SEBM00X00",2044,390.101839467165
"REGION1","SEBM00X00",2045,415.264161748639
"REGION1","SEBM00X00",2046,410.201214026061
"REGION1","SEBM00X00",2047,415.273457745014
"REGION1","SEBM00X00",2048,410.388212071818
"REGION1","SEBM00X00",2049,414.453285784122
"REGION1","SEBM00X00",2050,410.574598749041
"REGION1","SEBM00X00",2051,410.844941964558
"REGION1","SEBM00X00",2052,411.104287601286
"REGION1","SEBM00X00",2053,415.301345734138
"REGION1","SEBM00X00",2054,415.305993732325
"REGION1","SEBM00X00",2055,415.310641730512
"REGION1","SEBM00X00",2056,412.308713209892
"REGION1","SEBM00X00",2057,415.301345734138
"REGION1","SEBM00X00",2058,415.301345734138
"REGION1","SEBM00X00",2059,415.301345734138
"REGION1","SEBM00X00",2060,399.389118984066
"REGION1","SEBMCCPH1",2015,0.04448
"REGION1","SEBMCCPH1",2016,0.04448
"REGION1","SEBMCCPH1",2017,0.04448
"REGION1","SEBMCCPH1",2018,0.04448
"REGION1","SEBMCCPH1",2019,0.04448
"REGION1","SEBMCCPH1",2020,0.04448
"REGION1","SEBMCCPH1",2021,0.04448
"REGION1","SEBMCCPH1",2022,0.04448
"REGION1","SEBMCCPH1",2023,0.04448
"REGION1","SEBMCCPH1",2024,0.04448
"REGION1","SEBMCCPH1",2025,0.04448
"REGION1","SEBMCHPH3",2015,0.002224
"REGION1","SEBMCHPH3",2016,0.002224
"REGION1","SEBMCHPH3",2017,0.002224
"REGION1","SEBMCHPH3",2018,0.002224
"REGION1","SEBMCHPH3",2019,0.002224
"REGION1","SEBMCHPH3",2020,0.002224
