REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2023,0.04638213207936
"REGION1","SEBF00X00",2024,0.0160105686048
"REGION1","SEBM00X00",2015,0.95616
"REGION1","SEBM00X00",2016,0.9548718842367
"REGION1","SEBM00X00",2017,0.95616
"REGION1","SEBM00X00",2018,0.95616
"REGION1","SEBM00X00",2019,43.5265532663861
"REGION1","SEBM00X00",2020,128.075088934833
"REGION1","SEBM00X00",2021,215.064731299869
"REGION1","SEBM00X00",2022,267.931047969976
"REGION1","SEBM00X00",2023,229.711866892674
"REGION1","SEBM00X00",2024,268.424773732618
"REGION1","SEBM00X00",2025,263.417881830654
"REGION1","SEBM00X00",2026,269.254706934706
"REGION1","SEBM00X00",2027,269.128874114504
"REGION1","SEBM00X00",2028,268.934883445417
"REGION1","SEBM00X00",2029,264.282483063981
"REGION1","SEBM00X00",2030,119.251007023166
"REGION1","SEBM00X00",2031,113.220263393365
"REGION1","SEBM00X00",2032,113.17579243217
"REGION1","SEBM00X00",2033,113.114886971695
"REGION1","SEBM00X00",2034,113.207675527486
"REGION1","SEBM00X00",2035,195.583788157305
"REGION1","SEBM00X00",2036,198.332425546717
"REGION1","SEBM00X00",2037,195.471510802898
"REGION1","SEBM00X00",2038,195.344778265444
"REGION1","SEBM00X00",2039,194.933617751277
"REGION1","SEBM00X00",2040,258.82100970589
"REGION1","SEBM00X00",2041,430.532202892347
"REGION1","SEBM00X00",2042,429.726688779558
"REGION1","SEBM00X00",2043,453.356035992109
"REGION1","SEBM00X00",2044,454.109674667585
"REGION1","SEBM00X00",2045,483.544068515527
"REGION1","SEBM00X00",2046,485.157367875084
"REGION1","SEBM00X00",2047,483.716547327369
"REGION1","SEBM00X00",2048,483.802251585563
"REGION1","SEBM00X00",2049,483.411839274787
"REGION1","SEBM00X00",2050,483.490424914134
"REGION1","SEBM00X00",2051,483.720568334569
"REGION1","SEBM00X00",2052,483.360016088997
"REGION1","SEBM00X00",2053,477.179625294806
"REGION1","SEBM00X00",2054,477.106097274035
"REGION1","SEBM00X00",2055,476.992490964733
"REGION1","SEBM00X00",2056,484.599991446084
"REGION1","SEBM00X00",2057,484.599991446084
